epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
109,222786,0.51198,0.39233,0.94356,0.98022,0.9732,0.98275,0.88989,0.48471,0.26915,0.90226,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,224762,0.51264,0.39468,0.94802,0.97028,0.97474,0.98449,0.89102,0.47922,0.26936,0.89333,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,226754,0.51596,0.39535,0.94917,0.96704,0.9789,0.98439,0.88893,0.47818,0.26457,0.89382,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,228733,0.52134,0.39437,0.94957,0.96808,0.97873,0.98249,0.89068,0.47788,0.26403,0.895,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,230699,0.51036,0.39045,0.94373,0.97265,0.97818,0.98447,0.89258,0.47741,0.26056,0.89599,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,232735,0.51202,0.38961,0.94697,0.98366,0.96703,0.98193,0.89153,0.47982,0.26092,0.89826,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,234761,0.50867,0.38856,0.94759,0.98444,0.96503,0.97938,0.88836,0.48243,0.26613,0.90127,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,236757,0.5078,0.3838,0.94544,0.97549,0.97339,0.98387,0.88965,0.48061,0.26689,0.90165,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,238780,0.50779,0.38081,0.94409,0.97469,0.98042,0.98563,0.89196,0.47027,0.25875,0.89035,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,240784,0.50884,0.38624,0.94372,0.97873,0.97884,0.98636,0.89054,0.47656,0.26143,0.89534,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,242769,0.50371,0.38137,0.94456,0.98057,0.97784,0.98386,0.88883,0.48048,0.25753,0.89956,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,244767,0.49569,0.37432,0.94249,0.98188,0.97794,0.98532,0.89056,0.47805,0.25661,0.89636,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,246743,0.50317,0.37967,0.94107,0.98403,0.98069,0.98655,0.89434,0.47496,0.25397,0.89215,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,248724,0.5026,0.37079,0.94304,0.98849,0.97114,0.98492,0.89406,0.4732,0.25573,0.89029,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,250758,0.4997,0.36834,0.94182,0.98505,0.97182,0.98492,0.8937,0.47334,0.25794,0.89421,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,252741,0.50506,0.38079,0.94184,0.98244,0.96894,0.9863,0.89346,0.47117,0.25683,0.89002,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,254704,0.50328,0.36315,0.94051,0.98247,0.97425,0.98624,0.89435,0.47014,0.25268,0.88932,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,256670,0.4983,0.37235,0.94323,0.98078,0.97478,0.98338,0.89354,0.47412,0.25597,0.89186,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,258653,0.50051,0.36719,0.94375,0.98213,0.97708,0.98654,0.89196,0.46743,0.25122,0.88559,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,260596,0.49453,0.36324,0.9396,0.9826,0.97736,0.98716,0.89649,0.46567,0.25159,0.88446,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,262542,0.49135,0.3676,0.93964,0.98148,0.97588,0.98685,0.89664,0.46789,0.25101,0.88776,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,264549,0.49865,0.35501,0.93847,0.98209,0.97811,0.98575,0.89673,0.47339,0.24971,0.89437,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,267760,0.49775,0.36287,0.93301,0.98396,0.97672,0.98611,0.89586,0.47202,0.25094,0.89378,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,270099,0.48095,0.35488,0.93196,0.97717,0.98131,0.98647,0.89457,0.47033,0.25057,0.89107,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
133,272054,0.48892,0.35985,0.93279,0.97832,0.9788,0.9864,0.89376,0.46797,0.25065,0.88343,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
134,274014,0.49117,0.35034,0.93321,0.97922,0.97729,0.98602,0.8939,0.47033,0.25032,0.88563,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165
